"category","wordFeatures","Index","Model","N","Mean","SD","SE"
"predicates","concreteness","KL divergence (log)","Gpt-4o",1,-0.253914508140175,NA,NA
"predicates","concreteness","KL divergence (log)","Llama-3.1-70B",1,1.58335911274043,NA,NA
"predicates","adultBOI","Correlation coefficient","Gpt-4o",1,0.680178584850187,NA,NA
"predicates","adultBOI","Correlation coefficient","Llama-3.1-70B",1,0.637127382493031,NA,NA
"predicates","adultBOI","KL divergence (log)","Gpt-4o",1,2.21096128917317,NA,NA
"predicates","adultBOI","KL divergence (log)","Llama-3.1-70B",1,1.99444213808688,NA,NA
"predicates","childBOI","Correlation coefficient","Gpt-4o",1,0.580240906164541,NA,NA
"predicates","childBOI","Correlation coefficient","Llama-3.1-70B",1,0.498997434137176,NA,NA
"predicates","childBOI","KL divergence (log)","Gpt-4o",1,1.56584418194762,NA,NA
"predicates","childBOI","KL divergence (log)","Llama-3.1-70B",1,2.03198011923287,NA,NA
"predicates","iconicity","Correlation coefficient","Gpt-4o",1,0.625401496402603,NA,NA
"predicates","iconicity","Correlation coefficient","Llama-3.1-70B",1,0.533238279411933,NA,NA
"predicates","iconicity","KL divergence (log)","Gpt-4o",1,3.00302494481683,NA,NA
"predicates","iconicity","KL divergence (log)","Llama-3.1-70B",1,2.36162774641516,NA,NA
"predicates","babiness","Correlation coefficient","Gpt-4o",1,0.590740141110472,NA,NA
"predicates","babiness","Correlation coefficient","Llama-3.1-70B",1,0.633857540696526,NA,NA
"predicates","babiness","KL divergence (log)","Gpt-4o",1,1.47966452201625,NA,NA
"predicates","babiness","KL divergence (log)","Llama-3.1-70B",1,2.22742093402229,NA,NA
"predicates","valence","Correlation coefficient","Gpt-4o",1,0.81247744076278,NA,NA
"predicates","valence","Correlation coefficient","Llama-3.1-70B",1,0.821407685441329,NA,NA
"predicates","valence","KL divergence (log)","Gpt-4o",1,0.223450121269676,NA,NA
"predicates","valence","KL divergence (log)","Llama-3.1-70B",1,1.74398805137957,NA,NA
"predicates","arousal","Correlation coefficient","Gpt-4o",1,0.417359307726642,NA,NA
"predicates","arousal","Correlation coefficient","Llama-3.1-70B",1,0.507605695762956,NA,NA
"predicates","arousal","KL divergence (log)","Gpt-4o",1,2.38920832468609,NA,NA
"predicates","arousal","KL divergence (log)","Llama-3.1-70B",1,2.3576184393246,NA,NA
"predicates","dominance","Correlation coefficient","Gpt-4o",1,0.51613517785482,NA,NA
"predicates","dominance","Correlation coefficient","Llama-3.1-70B",1,0.61937257081867,NA,NA
"predicates","dominance","KL divergence (log)","Gpt-4o",1,2.15011087047245,NA,NA
"predicates","dominance","KL divergence (log)","Llama-3.1-70B",1,0.296122616071313,NA,NA
"predicates","Auditory","Correlation coefficient","Gpt-4o",1,0.566241937375271,NA,NA
"predicates","Auditory","Correlation coefficient","Llama-3.1-70B",1,0.561181402207165,NA,NA
"predicates","Auditory","KL divergence (log)","Gpt-4o",1,1.99572907648973,NA,NA
"predicates","Auditory","KL divergence (log)","Llama-3.1-70B",1,1.37888181805803,NA,NA
"predicates","Gustatory","Correlation coefficient","Gpt-4o",1,0.267051956419829,NA,NA
"predicates","Gustatory","Correlation coefficient","Llama-3.1-70B",1,0.202987668491183,NA,NA
"predicates","Gustatory","KL divergence (log)","Gpt-4o",1,1.76148927237256,NA,NA
"predicates","Gustatory","KL divergence (log)","Llama-3.1-70B",1,2.62710407719501,NA,NA
"predicates","Haptic","Correlation coefficient","Gpt-4o",1,0.72606104089621,NA,NA
"predicates","Haptic","Correlation coefficient","Llama-3.1-70B",1,0.725662285467702,NA,NA
"predicates","Haptic","KL divergence (log)","Gpt-4o",1,0.819953889807055,NA,NA
"predicates","Haptic","KL divergence (log)","Llama-3.1-70B",1,1.46143413715081,NA,NA
"predicates","Interoceptive","Correlation coefficient","Gpt-4o",1,0.543011349117494,NA,NA
"predicates","Interoceptive","Correlation coefficient","Llama-3.1-70B",1,0.718771871497405,NA,NA
"predicates","Interoceptive","KL divergence (log)","Gpt-4o",1,2.33779354196583,NA,NA
"predicates","Interoceptive","KL divergence (log)","Llama-3.1-70B",1,1.23891906759986,NA,NA
"predicates","Olfactory","Correlation coefficient","Gpt-4o",1,0.262275358284003,NA,NA
"predicates","Olfactory","Correlation coefficient","Llama-3.1-70B",1,0.27639614256359,NA,NA
"predicates","Olfactory","KL divergence (log)","Gpt-4o",1,1.26494383717117,NA,NA
"predicates","Olfactory","KL divergence (log)","Llama-3.1-70B",1,2.4397774706435,NA,NA
"predicates","Visual","Correlation coefficient","Gpt-4o",1,0.432747710422835,NA,NA
"predicates","Visual","Correlation coefficient","Llama-3.1-70B",1,0.470421005236131,NA,NA
"predicates","Visual","KL divergence (log)","Gpt-4o",1,2.6058936449419,NA,NA
"predicates","Visual","KL divergence (log)","Llama-3.1-70B",1,2.63486857075648,NA,NA
"predicates","Foot_leg","Correlation coefficient","Gpt-4o",1,0.710919564652125,NA,NA
"predicates","Foot_leg","Correlation coefficient","Llama-3.1-70B",1,0.601832867236085,NA,NA
"predicates","Foot_leg","KL divergence (log)","Gpt-4o",1,1.41182496271053,NA,NA
"predicates","Foot_leg","KL divergence (log)","Llama-3.1-70B",1,2.13415295396413,NA,NA
"predicates","Hand_arm","Correlation coefficient","Gpt-4o",1,0.651832560080604,NA,NA
"predicates","Hand_arm","Correlation coefficient","Llama-3.1-70B",1,0.648789683354899,NA,NA
"predicates","Hand_arm","KL divergence (log)","Gpt-4o",1,1.71881688363499,NA,NA
"predicates","Hand_arm","KL divergence (log)","Llama-3.1-70B",1,1.26645576040746,NA,NA
"predicates","Head","Correlation coefficient","Gpt-4o",1,0.450637907271307,NA,NA
"predicates","Head","Correlation coefficient","Llama-3.1-70B",1,0.200658272722049,NA,NA
"predicates","Head","KL divergence (log)","Gpt-4o",1,2.51540839581107,NA,NA
"predicates","Head","KL divergence (log)","Llama-3.1-70B",1,2.76221504047646,NA,NA
"predicates","Mouth","Correlation coefficient","Gpt-4o",1,0.60030760152985,NA,NA
"predicates","Mouth","Correlation coefficient","Llama-3.1-70B",1,0.457058529800431,NA,NA
"predicates","Mouth","KL divergence (log)","Gpt-4o",1,2.04790735940607,NA,NA
"predicates","Mouth","KL divergence (log)","Llama-3.1-70B",1,2.46843383718387,NA,NA
"predicates","Torso","Correlation coefficient","Gpt-4o",1,0.53929205712836,NA,NA
"predicates","Torso","Correlation coefficient","Llama-3.1-70B",1,0.490094495829239,NA,NA
"predicates","Torso","KL divergence (log)","Gpt-4o",1,2.71672873527476,NA,NA
"predicates","Torso","KL divergence (log)","Llama-3.1-70B",1,2.2080158024282,NA,NA
"function_words","concreteness","Correlation coefficient (AoA)","Gpt-4o",25,-0.283547429984027,0.622950688640328,0.124590137728066
"function_words","concreteness","Correlation coefficient (AoA)","Llama-3.1-70B",25,-0.221046353444129,0.60459382597755,0.12091876519551
"function_words","concreteness","Difference (correlation to AoA)","Gpt-4o",25,0.451235178711625,0.508679564795046,0.101735912959009
"function_words","concreteness","Difference (correlation to AoA)","Llama-3.1-70B",25,0.513736255251523,0.461438756313589,0.0922877512627177
"function_words","adultBOI","Correlation coefficient (AoA)","Gpt-4o",25,-0.248367889418005,0.570976799232133,0.114195359846427
"function_words","adultBOI","Correlation coefficient (AoA)","Llama-3.1-70B",25,-0.277637175134253,0.627140394930324,0.125428078986065
"function_words","adultBOI","Difference (correlation to AoA)","Gpt-4o",25,0.426628758983222,0.479574500798306,0.0959149001596612
